Order Date,Region,Category,Sales,Quantity,Profit
2014-02-02,West,Office Supplies,12.35,5,5.8045
2014-02-03,West,Office Supplies,13.272,3,4.3134
2014-02-03,West,Office Supplies,83.84,2,27.248
2014-02-04,West,Office Supplies,82.896,3,29.0136
2014-02-04,West,Office Supplies,34.24,4,16.0928
2014-02-04,West,Office Supplies,17.248,2,6.0368
2014-02-06,South,Technology,144.95,5,42.0355
2014-02-06,South,Technology,161.61,1,42.0186
2014-02-06,South,Office Supplies,15.0,4,7.2
2014-02-06,Central,Office Supplies,8.952,2,-14.7708
2014-02-07,East,Technology,115.36,7,49.6048
2014-02-07,East,Office Supplies,64.96,4,9.744
2014-02-08,West,Furniture,14.56,2,5.5328
2014-02-11,Central,Office Supplies,64.96,2,2.5984
2014-02-11,Central,Furniture,60.89,1,15.2225
2014-02-11,Central,Office Supplies,14.94,3,6.8724
2014-02-11,Central,Office Supplies,9.64,2,4.4344
2014-02-11,Central,Furniture,332.94,3,53.2704
2014-02-11,South,Office Supplies,17.46,2,8.2062
2014-02-11,Central,Office Supplies,51.9,3,24.393
2014-02-11,South,Furniture,1256.22,6,75.3732
2014-02-11,South,Technology,234.45,3,103.158
2014-02-12,West,Furniture,129.568,2,-24.294
2014-02-14,West,Office Supplies,238.62,2,4.7724
2014-02-14,West,Office Supplies,81.96,2,22.9488
2014-02-14,West,Technology,239.97,3,86.3892
2014-02-14,Central,Office Supplies,16.176,3,6.066
2014-02-15,West,Office Supplies,21.36,5,7.209
2014-02-16,Central,Office Supplies,1.08,3,-1.728
2014-02-16,Central,Office Supplies,7.96,2,-13.93
2014-02-17,Central,Office Supplies,54.208,14,8.8088
2014-02-18,Central,Office Supplies,12.624,2,-2.5248
2014-02-18,Central,Furniture,25.16,5,-11.322
2014-02-20,Central,Technology,62.31,3,22.4316
2014-02-20,Central,Furniture,20.32,4,6.9088
2014-02-20,West,Office Supplies,12.96,2,6.2208
2014-02-21,Central,Office Supplies,8.85,5,-13.7175
2014-02-22,West,Office Supplies,19.44,3,9.3312
2014-02-23,Central,Office Supplies,6.936,3,2.3409
2014-02-23,Central,Office Supplies,4.428,3,-6.8634
2014-02-24,West,Office Supplies,32.896,4,11.1024
2014-02-24,West,Office Supplies,22.776,3,7.6869
2014-02-27,East,Office Supplies,19.456,4,3.4048
2014-03-01,Central,Furniture,634.116,6,-172.1172
2014-03-01,West,Furniture,457.568,2,51.4764
2014-03-01,Central,Furniture,362.25,6,0.0
2014-03-01,Central,Office Supplies,18.84,5,-3.5325
2014-03-01,East,Technology,5.94,3,1.6038
2014-03-01,Central,Furniture,376.509,3,-43.0296
2014-03-01,Central,Office Supplies,137.352,3,8.5845
2014-03-01,Central,Office Supplies,129.552,3,-22.6716
2014-03-01,Central,Office Supplies,17.472,3,5.6784
2014-03-01,Central,Furniture,63.552,6,-34.9536
2014-03-02,East,Office Supplies,36.4,5,17.472
2014-03-02,East,Office Supplies,11.36,2,5.3392
2014-03-02,East,Technology,151.2,3,32.13
2014-03-02,East,Office Supplies,3.424,1,1.07
2014-03-03,South,Office Supplies,19.456,4,3.4048
2014-03-03,East,Furniture,302.45,5,-199.617
2014-03-03,Central,Office Supplies,176.772,3,-459.6072
2014-03-03,West,Furniture,626.352,3,-23.4882
2014-03-03,East,Technology,9.99,1,4.5954
2014-03-03,East,Office Supplies,125.76,3,40.872
2014-03-03,East,Office Supplies,15.12,3,4.914
2014-03-03,East,Office Supplies,44.672,8,-10.0512
2014-03-03,East,Office Supplies,25.32,5,9.1785
2014-03-04,South,Office Supplies,15.552,3,2.3328
2014-03-04,South,Office Supplies,354.9,5,17.745
2014-03-05,East,Office Supplies,97.82,2,45.9754
2014-03-05,East,Office Supplies,59.52,3,15.4752
2014-03-05,East,Technology,479.97,3,177.5889
2014-03-05,East,Office Supplies,18.62,2,5.3998
2014-03-05,East,Office Supplies,49.632,6,16.7508
2014-03-07,West,Furniture,481.568,2,54.1764
2014-03-07,West,Furniture,436.704,6,21.8352
2014-03-07,West,Office Supplies,204.9,5,0.0
2014-03-07,West,Office Supplies,20.65,5,9.499
2014-03-07,West,Furniture,48.712,1,5.4801
2014-03-07,West,Office Supplies,107.648,2,33.64
2014-03-07,West,Office Supplies,17.94,3,4.6644
2014-03-07,West,Office Supplies,242.94,3,4.8588
2014-03-10,West,Office Supplies,83.168,4,9.3564
2014-03-10,West,Office Supplies,636.408,3,-15.9102
2014-03-10,Central,Office Supplies,22.38,2,10.7424
2014-03-11,West,Office Supplies,7.98,3,2.0748
2014-03-11,South,Office Supplies,146.76,3,38.1576
2014-03-11,East,Furniture,8.32,5,2.288
2014-03-11,East,Office Supplies,10.464,6,1.7004
2014-03-11,South,Technology,32.96,2,14.1728
2014-03-11,South,Office Supplies,14.94,3,7.0218
2014-03-11,East,Office Supplies,108.92,14,49.014
2014-03-11,South,Technology,587.97,3,164.6316
2014-03-14,South,Furniture,1139.92,4,284.98
2014-03-14,West,Office Supplies,10.56,2,4.752
2014-03-14,South,Office Supplies,91.056,6,31.8696
2014-03-14,West,Office Supplies,33.088,4,11.1672
2014-03-14,West,Office Supplies,80.98,1,3.2392
2014-03-14,West,Technology,82.8,12,6.624
2014-03-14,West,Office Supplies,21.36,2,5.7672
2014-03-14,West,Office Supplies,62.048,2,20.1656
2014-03-14,West,Office Supplies,3.38,1,1.2506
2014-03-14,Central,Technology,574.91,2,156.047
2014-03-14,Central,Office Supplies,8.448,2,2.64
2014-03-15,South,Office Supplies,43.188,4,-31.6712
2014-03-15,South,Office Supplies,142.776,1,17.847
2014-03-15,South,Furniture,45.696,3,5.1408
2014-03-15,South,Office Supplies,7.218,3,-5.5338
2014-03-15,South,Office Supplies,131.904,3,47.8152
2014-03-16,South,Technology,471.92,2,29.495
2014-03-17,South,Office Supplies,11.43,3,5.3721
2014-03-17,South,Office Supplies,30.44,2,14.9156
2014-03-17,South,Office Supplies,12.96,2,6.3504
2014-03-17,East,Office Supplies,126.624,6,41.1528
2014-03-17,East,Furniture,613.908,3,-122.7816
2014-03-17,East,Office Supplies,34.86,7,16.3842
2014-03-17,Central,Office Supplies,35.88,6,17.2224
2014-03-17,Central,Office Supplies,53.4,10,25.098
2014-03-17,Central,Office Supplies,19.68,6,5.7072
2014-03-17,East,Office Supplies,155.04,4,75.9696
2014-03-17,Central,Office Supplies,4.448,2,0.3336
2014-03-17,East,Furniture,1071.576,4,-553.6476
2014-03-17,Central,Office Supplies,15.552,3,5.4432
2014-03-17,Central,Office Supplies,47.18,7,23.59
2014-03-17,East,Furniture,1579.746,7,-447.5947
2014-03-17,South,Office Supplies,16.0,4,7.68
2014-03-17,South,Office Supplies,32.67,3,8.4942
2014-03-17,Central,Office Supplies,5.184,1,1.8792
2014-03-17,Central,Office Supplies,93.78,2,36.5742
2014-03-18,South,Technology,821.3,4,-16.426
2014-03-18,South,Furniture,122.352,3,15.294
2014-03-18,South,Technology,22638.48,6,-1811.0784
2014-03-18,West,Office Supplies,1856.19,7,334.1142
2014-03-18,South,Office Supplies,21.376,4,7.4816
2014-03-18,South,Office Supplies,18.936,3,5.9175
2014-03-18,South,Furniture,30.768,2,8.0766
2014-03-18,West,Furniture,111.0,2,14.43
2014-03-18,South,Office Supplies,8.016,3,1.002
2014-03-18,West,Furniture,1198.33,10,70.49
2014-03-18,West,Technology,1279.968,4,415.9896
2014-03-19,South,Technology,170.24,2,53.2
2014-03-19,South,Technology,323.976,3,28.3479
2014-03-19,South,Furniture,20.016,3,5.5044
2014-03-19,South,Office Supplies,11.808,4,3.9852
2014-03-19,South,Office Supplies,26.16,3,1.962
2014-03-19,South,Office Supplies,33.57,5,-25.737
2014-03-19,South,Furniture,4.992,3,1.3728
2014-03-21,South,Office Supplies,122.94,3,59.0112
2014-03-21,South,Furniture,218.376,3,-10.9188
2014-03-21,South,Office Supplies,122.97,3,60.2553
2014-03-21,South,Office Supplies,9.32,4,2.7028
2014-03-21,South,Furniture,32.952,3,6.5904
2014-03-21,South,Office Supplies,59.2,5,22.2
2014-03-21,South,Technology,3499.93,7,909.9818
2014-03-21,East,Office Supplies,6.048,3,1.5876
2014-03-21,East,Office Supplies,7.408,2,1.2038
2014-03-21,South,Office Supplies,16.272,1,-3.8646
2014-03-21,South,Office Supplies,14.4,5,6.624
2014-03-22,West,Furniture,314.352,3,-35.3646
2014-03-22,South,Office Supplies,51.465,5,-39.4565
2014-03-22,West,Office Supplies,74.352,3,23.235
2014-03-22,South,Office Supplies,7.644,4,-5.8604
2014-03-22,Central,Office Supplies,16.28,2,6.512
2014-03-23,South,Office Supplies,9.912,3,3.2214
2014-03-23,West,Technology,604.752,6,37.797
2014-03-23,West,Office Supplies,330.4,2,85.904
2014-03-24,West,Furniture,40.48,2,14.5728
2014-03-24,East,Office Supplies,24.9,5,11.703
2014-03-25,East,Furniture,366.786,7,65.2064
2014-03-25,West,Office Supplies,6.56,2,1.9024
2014-03-25,West,Office Supplies,14.88,2,3.72
2014-03-25,West,Technology,45.48,4,15.918
2014-03-25,West,Office Supplies,25.44,6,9.9216
2014-03-26,West,Office Supplies,18.75,5,9.0
2014-03-26,West,Technology,66.3,3,8.619
2014-03-26,West,Office Supplies,3.36,2,0.84
2014-03-26,West,Office Supplies,27.936,4,9.4284
2014-03-26,West,Technology,28.784,2,2.8784
2014-03-28,Central,Furniture,1184.72,4,106.6248
2014-03-28,West,Technology,302.376,3,22.6782
2014-03-28,East,Furniture,330.588,1,-143.2548
2014-03-28,Central,Office Supplies,6.12,3,2.8764
2014-03-29,Central,Furniture,890.841,3,-152.7156
2014-03-30,Central,Technology,251.944,7,88.1804
2014-03-30,Central,Office Supplies,129.3,2,6.465
2014-03-30,Central,Furniture,127.302,7,-9.093
2014-03-30,West,Office Supplies,15.84,3,0.0
2014-03-30,West,Office Supplies,44.4,3,22.2
2014-03-30,East,Office Supplies,10.5,5,2.94
2014-03-30,Central,Office Supplies,335.72,5,113.3055
2014-03-30,East,Office Supplies,49.65,5,20.853
2014-03-30,West,Furniture,205.666,2,-12.098
2014-03-31,South,Office Supplies,12.645,5,-10.116
2014-03-31,South,Office Supplies,4.032,2,1.0584
2014-03-31,South,Furniture,1125.488,7,98.4802
2014-03-31,South,Office Supplies,1.869,1,-1.3083
2014-03-31,Central,Technology,79.984,2,13.9972
2014-03-31,East,Office Supplies,0.852,1,-0.5964
2014-03-31,West,Office Supplies,52.98,2,14.8344
2014-03-31,Central,Office Supplies,8.134,7,-13.8278
2014-03-31,West,Office Supplies,673.568,2,252.588
2014-04-01,West,Office Supplies,17.088,4,5.5536
2014-04-01,West,Office Supplies,29.6,2,14.8
2014-04-01,East,Office Supplies,6.24,2,3.0576
2014-04-01,East,Office Supplies,66.96,4,2.6784
2014-04-02,South,Furniture,177.68,2,46.1968
2014-04-02,South,Office Supplies,15.84,3,7.128
2014-04-02,Central,Office Supplies,26.72,5,9.352
2014-04-02,South,Technology,1049.93,7,293.9804
2014-04-02,South,Office Supplies,154.9,5,40.274
2014-04-02,Central,Office Supplies,33.488,7,10.465
2014-04-03,West,Office Supplies,11.16,2,5.58
2014-04-03,West,Technology,159.98,2,57.5928
2014-04-03,West,Technology,62.31,3,22.4316
2014-04-04,South,Office Supplies,19.44,3,9.3312
2014-04-04,Central,Office Supplies,79.36,4,23.808
2014-04-04,Central,Furniture,5.47,1,2.3521
2014-04-04,South,Office Supplies,12.96,2,6.3504
2014-04-04,West,Office Supplies,7.184,2,2.245
2014-04-04,West,Office Supplies,18.9,6,9.072
2014-04-04,South,Office Supplies,232.55,5,9.302
2014-04-04,South,Technology,99.98,2,42.9914
2014-04-05,Central,Office Supplies,52.096,4,3.9072
2014-04-05,South,Office Supplies,115.36,7,56.5264
2014-04-05,South,Office Supplies,22.96,7,7.5768
2014-04-05,Central,Office Supplies,26.7,2,7.476
2014-04-05,Central,Office Supplies,40.2,5,18.09
2014-04-05,South,Technology,28.99,1,8.4071
2014-04-05,East,Office Supplies,55.48,1,26.6304
2014-04-05,Central,Office Supplies,13.89,3,4.5837
2014-04-05,Central,Office Supplies,689.82,6,20.6946
2014-04-05,South,Office Supplies,4164.05,5,83.281
2014-04-05,South,Office Supplies,12.96,2,6.3504
2014-04-05,South,Office Supplies,22.96,7,6.6584
2014-04-05,Central,Office Supplies,49.632,4,3.7224
2014-04-06,West,Office Supplies,65.568,2,23.7684
2014-04-06,West,Technology,33.9,2,2.034
2014-04-06,West,Office Supplies,70.95,3,18.447
2014-04-06,West,Technology,299.97,3,131.9868
2014-04-06,West,Furniture,653.55,3,111.1035
2014-04-06,East,Furniture,154.764,3,-36.1116
2014-04-06,East,Office Supplies,44.91,6,-35.928
2014-04-06,East,Technology,116.784,2,21.897
2014-04-06,West,Furniture,91.96,2,15.6332
2014-04-06,East,Office Supplies,10.304,1,-2.1896
2014-04-06,West,Office Supplies,19.44,3,9.3312
2014-04-06,West,Office Supplies,55.48,1,26.6304
2014-04-06,West,Furniture,33.11,7,12.9129
2014-04-07,South,Furniture,8.96,2,2.7776
2014-04-07,South,Technology,200.97,3,50.2425
2014-04-07,South,Office Supplies,58.32,9,27.9936
2014-04-07,South,Technology,629.95,5,163.787
2014-04-07,South,Office Supplies,122.97,3,60.2553
2014-04-08,West,Office Supplies,2.368,2,0.8288
2014-04-08,East,Furniture,172.11,1,-94.6605
2014-04-08,West,Office Supplies,49.792,8,-11.8256
2014-04-08,West,Office Supplies,19.008,3,6.8904
2014-04-08,West,Technology,399.96,4,139.986
2014-04-08,West,Furniture,99.592,1,2.4898
2014-04-08,South,Furniture,1215.92,8,316.1392
2014-04-11,South,Office Supplies,10.368,2,3.6288
2014-04-11,West,Office Supplies,87.08,7,24.3824
2014-04-11,West,Technology,105.584,2,9.2386
2014-04-11,West,Technology,217.44,6,91.3248
2014-04-11,Central,Technology,758.352,6,265.4232
2014-04-11,South,Technology,335.944,7,41.993
2014-04-11,South,Technology,383.976,3,81.5949
2014-04-11,South,Office Supplies,6.912,3,2.3328
2014-04-11,West,Office Supplies,9.584,1,3.3544
2014-04-12,West,Technology,438.368,4,38.3572
2014-04-12,West,Office Supplies,18.088,7,6.5569
2014-04-12,West,Office Supplies,39.68,2,16.2688
2014-04-12,West,Furniture,308.499,3,-18.147
2014-04-12,Central,Office Supplies,32.4,5,15.552
2014-04-12,West,Technology,1075.088,14,94.0702
2014-04-13,East,Office Supplies,7.83,3,3.6018
2014-04-13,East,Office Supplies,17.856,4,1.116
2014-04-13,East,Technology,71.928,12,8.3916
2014-04-13,East,Office Supplies,509.97,10,-407.976
2014-04-13,East,Office Supplies,30.992,13,10.0724
2014-04-15,West,Office Supplies,106.96,2,31.0184
2014-04-15,West,Furniture,187.76,4,76.9816
2014-04-16,South,Office Supplies,39.072,6,9.768
2014-04-18,Central,Office Supplies,2.688,2,1.008
2014-04-18,Central,Furniture,317.058,3,-18.1176
2014-04-18,Central,Office Supplies,149.352,3,50.4063
2014-04-18,Central,Technology,227.976,3,28.497
2014-04-18,West,Technology,287.968,4,97.1892
2014-04-18,West,Office Supplies,13.12,4,3.8048
2014-04-18,West,Office Supplies,10.75,5,3.5475
2014-04-18,West,Office Supplies,11.62,2,3.6022
2014-04-19,West,Furniture,76.14,3,26.649
2014-04-19,South,Office Supplies,58.05,3,26.703
2014-04-19,South,Office Supplies,71.28,11,34.2144
2014-04-20,Central,Office Supplies,44.84,5,5.605
2014-04-20,Central,Furniture,401.59,2,-131.951
2014-04-20,West,Furniture,59.92,4,27.5632
2014-04-20,Central,Furniture,744.1,5,-95.67
2014-04-21,South,Office Supplies,828.84,6,0.0
2014-04-21,West,Office Supplies,16.52,5,5.5755
2014-04-22,East,Office Supplies,247.84,8,121.4416
2014-04-22,East,Office Supplies,9.912,3,3.3453
2014-04-23,West,Office Supplies,48.91,1,22.9877
2014-04-23,East,Office Supplies,2.502,3,-1.7514
2014-04-23,East,Furniture,281.372,2,-12.0588
2014-04-23,East,Furniture,281.372,2,-12.0588
2014-04-23,East,Office Supplies,7.488,8,-5.2416
2014-04-23,East,Furniture,22.336,4,7.8176
2014-04-25,Central,Office Supplies,10.368,2,3.6288
2014-04-25,Central,Office Supplies,6.24,3,0.546
2014-04-25,West,Furniture,303.25,5,63.6825
2014-04-25,South,Technology,302.376,3,37.797
2014-04-25,West,Office Supplies,270.72,3,78.5088
2014-04-25,West,Furniture,1487.04,5,148.704
2014-04-26,West,Office Supplies,21.4,5,6.206
2014-04-26,West,Office Supplies,18.288,6,5.715
2014-04-26,West,Office Supplies,12.6,2,5.796
2014-04-26,West,Furniture,230.28,3,23.028
2014-04-28,East,Office Supplies,27.096,3,2.0322
2014-04-28,East,Technology,159.98,2,57.5928
2014-04-28,East,Office Supplies,177.568,2,-37.7332
2014-04-28,East,Office Supplies,20.86,2,9.387
2014-04-28,West,Technology,1679.96,5,125.997
2014-04-28,East,Office Supplies,497.61,9,129.3786
2014-04-28,East,Office Supplies,5.34,2,1.4952
2014-04-28,East,Office Supplies,3.15,1,1.512
2014-04-28,East,Office Supplies,6.912,3,2.5056
2014-04-29,South,Office Supplies,99.92,5,-1.249
2014-04-29,East,Technology,19.98,2,5.1948
2014-04-29,East,Furniture,17.46,2,5.9364
2014-04-29,South,Office Supplies,17.94,3,8.6112
2014-04-29,South,Furniture,561.584,2,70.198
2014-04-29,South,Furniture,51.96,2,12.99
2014-04-30,South,Technology,47.79,3,16.2486
2014-04-30,South,Office Supplies,174.95,5,45.487
2014-04-30,South,Office Supplies,826.0,5,214.76
2014-05-02,East,Office Supplies,26.136,3,1.9602
2014-05-02,South,Technology,479.984,2,89.997
2014-05-03,Central,Office Supplies,21.56,7,10.3488
2014-05-03,East,Office Supplies,10.896,3,3.9498
2014-05-03,East,Office Supplies,40.176,3,14.5638
2014-05-04,East,Furniture,27.46,2,9.8856
2014-05-04,Central,Office Supplies,37.84,2,2.838
2014-05-04,Central,Office Supplies,5.472,6,1.8468
2014-05-04,West,Office Supplies,57.68,4,19.0344
2014-05-04,West,Furniture,12.18,7,3.8976
2014-05-04,Central,Office Supplies,46.8,4,21.06
2014-05-05,South,Office Supplies,11.88,2,5.346
2014-05-05,South,Office Supplies,35.44,1,16.6568
2014-05-05,Central,Office Supplies,45.248,2,3.9592
2014-05-05,Central,Furniture,127.869,3,-9.1335
2014-05-05,South,Office Supplies,24.56,2,11.5432
2014-05-05,South,Office Supplies,6.56,2,1.9024
2014-05-05,South,Office Supplies,9.42,3,4.239
2014-05-06,West,Office Supplies,5.78,2,2.7166
2014-05-06,West,Office Supplies,140.736,8,52.776
2014-05-06,West,Office Supplies,107.94,6,30.2232
2014-05-07,East,Furniture,194.25,2,-38.85
2014-05-07,East,Office Supplies,8.64,3,2.5056
2014-05-07,East,Office Supplies,16.14,3,7.9086
2014-05-07,East,Furniture,872.32,4,244.2496
2014-05-08,East,Technology,1799.97,5,239.996
2014-05-09,South,Office Supplies,83.25,3,14.985
2014-05-09,South,Office Supplies,20.65,5,9.499
2014-05-09,South,Office Supplies,9.45,3,4.536
2014-05-09,West,Technology,67.8,4,4.068
2014-05-09,South,Office Supplies,45.36,7,21.7728
2014-05-09,West,Technology,167.97,3,40.3128
2014-05-10,West,Technology,43.6,5,4.36
2014-05-10,West,Office Supplies,158.13,3,77.4837
2014-05-10,West,Office Supplies,41.04,6,11.0808
2014-05-10,East,Office Supplies,22.32,5,5.301
2014-05-10,West,Furniture,256.784,1,32.098
2014-05-10,West,Technology,1432.0,5,125.3
2014-05-10,West,Office Supplies,39.96,2,19.1808
2014-05-10,East,Furniture,349.965,7,-216.9783
2014-05-11,Central,Furniture,1212.96,8,-69.312
2014-05-11,Central,Technology,46.864,2,7.6154
2014-05-11,East,Office Supplies,35.91,3,9.6957
2014-05-11,Central,Office Supplies,104.58,9,-172.557
2014-05-11,Central,Technology,100.792,1,6.2995
2014-05-11,Central,Furniture,66.112,4,-84.2928
2014-05-11,Central,Office Supplies,17.472,3,5.6784
2014-05-11,Central,Technology,58.112,2,7.264
2014-05-12,East,Furniture,700.056,3,-130.0104
2014-05-12,Central,Furniture,34.79,7,10.7849
2014-05-13,West,Office Supplies,8.0,2,3.84
2014-05-13,South,Office Supplies,7.104,2,2.3976
2014-05-13,West,Office Supplies,55.5,2,9.99
2014-05-13,West,Technology,149.97,3,52.4895
2014-05-13,South,Office Supplies,398.352,8,-331.96
2014-05-13,West,Furniture,279.456,6,20.9592
2014-05-14,South,Furniture,310.88,2,23.316
2014-05-16,West,Technology,56.4,3,3.384
2014-05-16,West,Furniture,232.88,5,17.466
2014-05-17,Central,Office Supplies,91.68,3,45.84
2014-05-18,Central,Office Supplies,3.984,1,1.4442
2014-05-18,East,Office Supplies,15.936,4,5.7768
2014-05-18,East,Furniture,149.232,3,3.7308
2014-05-18,East,Technology,779.796,2,-168.9558
2014-05-19,South,Office Supplies,34.2,5,9.234
2014-05-19,Central,Office Supplies,57.42,9,26.4132
2014-05-20,East,Furniture,139.86,7,60.1398
2014-05-20,East,Office Supplies,38.52,9,11.9412
2014-05-20,East,Office Supplies,33.28,4,9.3184
2014-05-20,Central,Office Supplies,10.368,2,3.6288
2014-05-20,Central,Office Supplies,66.96,5,-13.392
2014-05-20,Central,Technology,20.784,2,-3.6372
2014-05-20,Central,Furniture,10.332,3,-5.9409
2014-05-21,Central,Office Supplies,18.24,3,-31.008
2014-05-21,West,Office Supplies,31.84,8,10.5072
2014-05-21,South,Office Supplies,2715.93,7,1276.4871
2014-05-21,East,Office Supplies,447.86,7,219.4514
2014-05-21,South,Technology,617.97,3,173.0316
2014-05-21,East,Office Supplies,17.94,3,8.7906
2014-05-21,Central,Office Supplies,4.832,1,1.6308
2014-05-21,East,Office Supplies,245.88,6,68.8464
2014-05-21,Central,Furniture,107.772,2,-29.2524
2014-05-21,Central,Office Supplies,56.064,6,21.024
2014-05-22,South,Technology,44.95,1,12.586
2014-05-22,South,Technology,135.98,2,33.995
2014-05-23,East,Office Supplies,5.04,2,0.1512
2014-05-23,East,Office Supplies,21.168,9,2.3814
2014-05-23,East,Office Supplies,17.96,5,5.837
2014-05-23,East,Office Supplies,3.282,2,-2.6256
2014-05-23,West,Office Supplies,12.96,2,6.2208
2014-05-23,East,Office Supplies,208.16,1,56.2032
2014-05-23,East,Technology,55.188,2,-10.1178
2014-05-24,East,Office Supplies,116.28,3,56.9772
2014-05-25,Central,Furniture,29.32,2,-24.189
2014-05-25,East,Office Supplies,14.62,2,6.7252
2014-05-25,Central,Office Supplies,75.6,2,-166.32
2014-05-26,Central,Office Supplies,13.392,3,3.1806
2014-05-26,West,Furniture,225.296,2,22.5296
2014-05-26,West,Technology,83.984,2,31.494
2014-05-26,West,Technology,201.584,2,20.1584
2014-05-26,West,Furniture,290.666,2,27.3568
2014-05-26,Central,Furniture,359.772,2,-5.1396
2014-05-26,Central,Office Supplies,102.624,3,7.6968
2014-05-26,West,Office Supplies,48.4,5,23.232
2014-05-27,West,Office Supplies,359.32,4,7.1864
2014-05-27,West,Technology,1113.504,12,125.2692
2014-05-27,West,Technology,99.99,1,37.9962
2014-05-27,Central,Office Supplies,17.46,6,-30.555
2014-05-27,West,Furniture,567.12,10,-28.356
2014-05-28,West,Technology,27.6,4,2.208
2014-05-28,West,Technology,57.408,6,5.7408
2014-05-28,West,Office Supplies,136.96,4,51.36
2014-05-30,East,Office Supplies,39.96,4,17.982
2014-05-30,South,Office Supplies,13.62,3,6.129
2014-05-30,East,Office Supplies,235.95,3,77.8635
